2016-07-27 22:52:10,272 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lz:web:1.0.0-BUILD-SNAPSHOT @ C:\Users\zzz\Documents\GitHub\LZ\LZ.Web\pom.xml.
2016-07-27 22:52:11,504 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-27 22:52:11,518 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-07-27 22:52:11,769 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-27 22:52:11,802 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-07-27 22:52:12,297 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lz:web:1.0.0-BUILD-SNAPSHOT @ C:\Users\zzz\Documents\GitHub\LZ\LZ.Web\pom.xml.
2016-07-27 22:52:24,705 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-27 22:52:25,035 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lz:web:1.0.0-BUILD-SNAPSHOT @ C:\Users\zzz\Documents\GitHub\LZ\LZ.Web\pom.xml.
2016-07-27 22:52:25,483 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LZ.Web/src/main/java
2016-07-27 22:52:25,484 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LZ.Web/src/main/resources
2016-07-27 22:52:25,485 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LZ.Web/src/test/java
2016-07-27 22:52:25,485 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LZ.Web/src/test/resources
2016-07-27 22:52:25,995 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for LZ.Web
2016-07-27 22:52:26,008 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-07-27 22:52:26,937 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-27 22:52:26,954 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-07-27 22:52:26,988 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-27 22:52:27,002 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-07-27 22:52:27,006 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LZ.Web
2016-07-27 22:52:27,006 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LZ.Web
2016-07-27 22:52:27,021 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-27 22:52:52,866 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-27 22:52:52,873 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-27 22:52:52,874 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-27 22:52:52,881 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
